name,lat,lon
いこまい館,35.097565,137.54152
福祉センター,35.097683,137.056003
北山台一丁目,35.09691,137.060944
北山台二丁目,35.09886,137.061712
ウッドランド,35.097496,137.064739
諸輪公園前,35.100692,137.06764
前田,35.102453,137.071945
尾三消防本部東,35.102429,137.074498
富士見台,35.103301,137.080961
東脇,35.102521,137.083607
米ヶ廻間池,35.104945,137.082745
名大農場前,35.10878,137.07989
富士塚,35.105391,137.07672
中市,35.104963,137.072553
後山,35.106719,137.069443
上市,35.109181,137.071626
諸輪住宅前,35.110896,137.070571
諸輪住宅中央,35.114856,137.070712
諸輪住宅南,35.113105,137.070475
諸輪住宅北,35.116874,137.070353
愛知池,35.118677,137.070658
米野木駅,35.124186,137.066926
愛知池,35.118687,137.070772
諸輪住宅北,35.11701,137.070776
御岳一丁目北,35.112724,137.065284
御岳一丁目東,35.111398,137.063008
御岳公園西,35.111932,137.061931
白鳥公園北,35.113256,137.059223
押草団地405棟北,35.11406,137.056067
押草団地403棟西,35.113541,137.054628
白鳥二丁目,35.111582,137.05207
たかね保育園前,35.111903,137.054909
高嶺小学校東,35.111112,137.05726
白鳥一丁目南,35.108117,137.057096
尼ヶ根公園前,35.108626,137.054591
愛知警察署南,35.109533,137.053163
日進駅,35.118804,137.047931
和合ヶ丘三丁目,35.110245,137.049897
和合ヶ丘中央,35.110302,137.047168
和合ヶ丘二丁目,35.109509,137.044694
和合牛廻間,35.107891,137.043226
和合ヶ丘東,35.10402,137.045256
和合西口,35.101137,137.04855
福祉センター,35.097683,137.056003
いこまい館,35.097565,137.054152
いこまい館,35.097565,137.054152
福祉センター,35.097683,137.056003
和合西口,35.100613,137.049055
和合ヶ丘東,35.104261,137.044855
和合牛廻間,35.108333,137.043484
和合ヶ丘二丁目,35.109621,137.044659
和合ヶ丘中央,35.110372,137.046902
和合ヶ丘三丁目,35.110334,137.048771
日進駅,35.118804,137.047931
愛知警察署南,35.109684,137.053196
尼ヶ根公園前,35.108031,137.055535
白鳥一丁目南,35.108199,137.056989
高嶺小学校東,35.111478,137.057013
たかね保育園前,35.111852,137.054883
白鳥二丁目,35.111608,137.052008
押草団地403棟西,35.113545,137.054552
押草団地405棟北,35.114123,137.056202
白鳥公園北,35.113242,137.05959
御岳公園西,35.112096,137.061997
御岳一丁目東,35.111454,137.062614
御岳一丁目北,35.112918,137.065296
諸輪住宅北,35.116874,137.070353
愛知池,35.118677,137.070658
米野木駅,35.124186,137.066926
愛知池,35.118687,137.070772
諸輪住宅北,35.11701,137.070776
諸輪住宅中央,35.114859,137.070716
諸輪住宅南,35.113106,137.070475
諸輪住宅前,35.110884,137.070702
上市,35.109221,137.071737
後山,35.106357,137.069634
中市,35.105047,137.072365
富士塚,35.105418,137.076583
名大農場前,35.108685,137.07976
米ヶ廻間池,35.10505,137.082691
東脇,35.102463,137.083569
富士見台,35.103296,137.081261
尾三消防本部東,35.102738,137.074762
前田,35.102403,137.0716
諸輪公園前,35.100019,137.06715
ウッドランド,35.097507,137.064841
北山台二丁目,35.099101,137.061944
北山台一丁目,35.096891,137.061086
福祉センター,35.097683,137.056003
いこまい館,35.097565,137.054152
いこまい館,39.097565,137.054152
福祉センター,35.097681,137.056002
申下,35.094936,137.055419
東郷町総合体育館,35.095353,137.05315
瀬戸田,35.093805,137.050516
中屋敷,35.092131,137.050723
春木台一丁目,35.089812,137.049566
春木交番前,35.08914,137.045368
春木台四丁目,35.088828,137.042441
春木台小学校西,35.088102,137.040363
春木台南,35.085254,137.041801
春木台五丁目,35.083951,137.043886
祐福寺,35.081277,137.046047
"部田コミュニティ
センター前",35.078986,137.045573
南部保育園南,35.075942,137.043453
薮田,35.073378,137.040745
四ツ塚,35.0698,137.044279
太子,35.077906,137.047315
"部田コミュニティ
センター前",35.079076,137.045555
祐福寺公民館東,35.082715,137.047986
山崎,35.087145,137.049337
中屋敷,35.092522,137.05063
瀬戸田,35.094185,137.050394
東郷町役場前,35.096958,137.051465
南蚊谷,35.096958,137.051465
狐坂,35.096958,137.051465
白鳥一丁目南,35.108197,137.056989
高嶺小学校東,35.111478,137.057013
白鳥コミュニティセンター前,35.113243,137.057188
押草団地303棟北,35.115275,137.056839
日進駅,35.118804,137.047931
押草団地206棟南,35.115017,137.053836
押草団地116棟西,35.11328,137.052991
白鳥二丁目,35.111583,137.05207
白鳥一丁目西,35.11002,137.054993
白鳥中央,35.110285,137.056404
白鳥一丁目,35.108199,137.056989
御岳一丁目南,35.111182,137.061136
大坊池公園前,35.110143,137.062552
諸輪小学校前,35.107404,137.066539
東部児童館前,35.105758,137.066827
諸輪公民館前,35.104441,137.068054
北山台五丁目,35.101962,137.06499
北山台三丁目,35.101439,137.059457
南蚊谷,35.100106,137.054034
東郷町役場前,35.096668,137.051433
東郷町総合体育館,35.095355,137.053152
申下,35.094929,137.055422
福祉センター,35.097683,137.056003
いこまい館,35.097565,137.054152
いこまい館,35.097565,137.054152
福祉センター,35.097683,137.056003
申下,35.094936,137.055419
東郷町総合体育館,35.095353,137.05315
東郷町役場前,35.096675,137.051402
南蚊谷,35.100109,137.054031
北山台三丁目,35.1015,137.059474
北山台五丁目,35.102186,137.065208
諸輪公民館前,35.104355,137.068012
東部児童館前,35.105729,137.066759
諸輪小学校前,35.107222,137.066497
大坊池公園前,35.109733,137.06261
御岳一丁目南,35.111126,137.061737
白鳥一丁目,35.110458,137.058201
白鳥中央,35.110137,137.056395
白鳥一丁目西,35.109886,137.055095
白鳥二丁目,35.111608,137.052008
押草団地116棟西,35.113106,137.052991
押草団地206棟南,35.11504,137.053908
日進駅,35.118804,137.047931
押草団地303棟北,35.115353,137.056909
白鳥コミュニティセンター前,35.113339,137.057336
高嶺小学校東,35.111112,137.05726
白鳥一丁目南,35.108117,137.057096
狐坂,35.102467,137.058733
南蚊谷,35.100107,137.054034
東郷町役場前,35.096668,137.051434
瀬戸田,35.093805,137.050516
中屋敷,35.092131,137.050723
山崎,35.087128,137.049452
祐福寺公民館東,35.083225,137.048194
"部田コミュニティ
センター前",35.079076,137.045555
太子,35.077889,137.047358
四ツ塚,35.069783,137.04424
薮田,35.073541,137.040806
南部保育園南,35.075972,137.043373
"部田コミュニティ
センター前",35.079079,137.045554
祐福寺,35.081082,137.046233
春木台五丁目,35.084382,137.043291
春木台南,35.085219,137.041771
春木台小学校西,35.087742,137.040335
春木台四丁目,35.088816,137.041868
春木交番前,35.089233,137.045628
春木台一丁目,35.089823,137.049352
中屋敷,35.092522,137.05063
瀬戸田,35.094185,137.050394
東郷町総合体育館,35.095355,137.053152
申下,35.094929,137.055422
福祉センター,35.097683,137.056003
いこまい館,35.097565,137.054152
いこまい館,35.097565,137.054152
福祉センター,35.097683,137.056003
申下,35.094936,137.055419
東郷町総合体育館,35.095353,137.05315
瀬戸田,35.093805,137.050516
折橋,35.095903,137.045129
桝池東,35.09673,137.041535
弥計,35.098474,137.036423
音貝小学校東,35.100489,137.031032
音貝,35.102324,137.02858
ラドーニ東郷西,35.104246,137.027834
白土浄水池前,35.106958,137.026364
旭ヶ丘団地,35.107514,137.022332
白土,35.105674,137.022482
東白土,35.102993,137.02345
涼松,35.100766,137.022865
涼松緑道,35.098158,137.025342
上鏡田,35.095837,137.026353
兵庫,35.093956,137.023649
部田山コミュニティセンター前,35.092925,137.02433
三ツ池,35.092542,137.026563
清水公園北,35.090319,137.029551
清水,35.090558,137.032011
東郷社宅前,35.088742,137.034256
一里塚,35.085695,137.037047
南部児童館前,35.08523,137.038294
春木中学校西,35.089984,137.037457
春木台三丁目,35.090074,137.040016
春木台四丁目,35.088816,137.041868
春木交番前,35.089233,137.045628
春木台一丁目南,35.088843,137.045619
山崎,35.087145,137.049337
中屋敷,35.092522,137.05063
瀬戸田,35.094185,137.050394
東郷町総合体育館,35.095564,137.052627
申下,35.094929,137.055422
福祉センター,35.097683,137.056003
いこまい館,35.096597,137.054152
いこまい館,35.096597,137.054152
福祉センター,35.097683,137.056003
申下,35.094936,137.055419
東郷町総合体育館,35.095353,137.05315
瀬戸田,35.093805,137.050516
中屋敷,35.092131,137.050723
山崎,35.087928,137.049452
春木台一丁目南,35.088727,137.048196
春木交番前,35.08914,137.045368
春木台四丁目,35.088828,137.042441
春木台三丁目,35.09029,137.03992
春木中学校西,35.089665,137.037562
南部児童館前,35.085248,137.038351
一里塚,35.085628,137.036956
東郷社宅前,35.088883,137.034078
清水,35.090667,137.032268
清水公園北,35.090226,137.029601
三ツ池,35.092474,137.026417
部田山コミュニティセンター前,35.092926,137.024478
兵庫,35.093988,137.02352
上鏡田,35.09594,137.026392
涼松緑道,35.098069,137.025268
涼松,35.100493,137.022691
東白土,35.102398,137.023662
白土,35.105314,137.022399
旭ヶ丘団地,35.107529,137.022634
白土浄水池前,35.107049,137.026473
ラドーニ東郷西,35.103845,137.028211
音貝,35.102492,137.028669
音貝小学校東,35.100662,137.030802
弥計,35.098482,137.036705
桝池東,35.096731,137.041635
折橋,35.095914,137.045337
瀬戸田,35.094185,137.050394
東郷町総合体育館,35.095564,137.052627
申下,35.094922,137.055424
福祉センター,35.097683,137.056003
いこまい館,35.096597,137.054152
